City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Quatre Cocos,75,MU,1580168827,73,-20.21,57.76,75.2,12.41
Vieques,40,PR,1580168827,88,18.43,-65.83,78.01,9.17
Greenwood,1,US,1580168738,57,34.17,-82.12,53.6,3.36
Murliganj,0,IN,1580168829,82,25.9,86.98,54.52,2.8
Hohhot,100,CN,1580168830,85,40.81,111.65,10.4,4.47
Anito,56,PH,1580168831,76,12.45,125.29,80.78,4.74
Clearwater,90,US,1580168766,72,27.97,-82.8,68.0,4.7
Hofn,81,IS,1580168832,56,64.25,-15.21,40.73,8.95
Barcelos,90,PT,1580168241,100,41.54,-8.62,57.2,11.41
Carnarvon,90,AU,1580168834,100,-24.87,113.63,75.2,16.11
Isabela,20,PH,1580168835,83,6.71,121.97,80.6,2.24
Mount Isa,75,AU,1580168835,88,-20.73,139.5,78.8,10.29
Lagos,91,NG,1580168690,83,6.58,3.75,77.0,2.24
Sisimiut,100,GL,1580168837,94,66.94,-53.67,-0.17,5.57
Banda Aceh,100,ID,1580168837,94,5.56,95.32,74.98,2.24
Kruisfontein,100,ZA,1580168838,80,-34.0,24.73,56.28,3.24
Salinopolis,100,BR,1580168839,80,-0.61,-47.36,81.99,13.94
Mount Gambier,40,AU,1580168838,68,-37.83,140.77,66.2,12.75
Prelouc,100,CZ,1580168840,86,50.04,15.56,35.6,5.82
Obera,73,AR,1580168681,57,-27.49,-55.12,75.38,2.01
Mitu,83,CO,1580168842,76,1.2,-70.17,79.77,2.46
Suslonger,40,RU,1580168843,84,56.32,48.25,6.8,8.95
Mengcheng,44,CN,1580168844,82,33.26,116.57,33.39,5.37
Abnub,30,EG,1580168845,57,27.27,31.15,50.0,3.36
Teguldet,100,RU,1580168845,94,57.31,88.17,24.8,10.96
Baruun-Urt,57,MN,1580168846,90,46.68,113.28,-3.1,4.07
Altus,1,US,1580168847,48,34.64,-99.33,69.8,13.87
Beeskow,75,DE,1580168848,81,52.17,14.25,43.0,12.75
Bolisong,68,PH,1580168848,82,9.69,123.15,77.07,6.02
Coyhaique,90,CL,1580168640,77,-45.58,-72.07,59.0,11.41
Kayes,44,ML,1580168850,8,14.0,-11.0,80.04,7.23
Alberdi,5,AR,1580168851,41,-32.89,-60.69,78.01,8.05
Svirstroy,100,RU,1580168851,58,60.8,33.72,19.2,9.19
Ukholovo,100,RU,1580168852,88,53.79,40.49,22.75,10.16
Mangaratiba,40,BR,1580168853,88,-22.96,-44.04,82.4,5.82
Aboisso,10,CI,1580168854,87,5.47,-3.21,75.18,2.15
Bathsheba,41,BB,1580168828,69,13.22,-59.52,78.8,9.17
Olpad,0,IN,1580168855,76,21.33,72.75,62.38,3.4
Mil'kovo,100,RU,1580168856,94,54.72,158.62,19.81,1.16
Vila Velha,90,BR,1580168857,94,-20.33,-40.29,77.0,11.41
Santa Maria,40,BR,1580168857,65,-29.68,-53.81,80.6,8.05
Krasnosel'kup,99,RU,1580168844,94,65.7,82.47,14.58,14.43
Los Llanos de Aridane,75,ES,1580168859,59,28.66,-17.92,64.4,8.05
Loknya,100,RU,1580168859,98,56.83,30.15,34.81,2.66
Camacha,20,PT,1580168860,77,33.08,-16.33,59.0,4.12
Comodoro Rivadavia,42,AR,1580168702,26,-45.87,-67.5,82.4,20.8
Golcuv Jenikov,100,CZ,1580168862,80,49.82,15.48,35.6,10.29
Flinders,75,AU,1580168862,83,-34.58,150.86,82.99,11.41
Dali,6,CN,1580168863,91,25.7,100.18,27.97,1.57
Westerland,100,DE,1580168864,94,54.91,8.3,43.0,3.0
Hobyo,100,SO,1580168865,74,5.35,48.53,76.8,22.55
Yangi Marg`ilon,2,UZ,1580168866,80,40.43,71.72,35.6,2.24
Bealanana,43,MG,1580168867,94,-14.55,48.73,66.33,1.63
Haines Junction,85,CA,1580168867,94,60.75,-137.51,14.38,6.96
Teya,100,RU,1580168868,93,60.38,92.63,14.88,6.51
Lakes Entrance,100,AU,1580168869,81,-37.88,147.98,69.01,1.01
Pancol,59,PH,1580168869,76,10.87,119.42,78.84,3.22
Edd,10,ER,1580168870,74,13.93,41.69,73.33,1.9
Kamen'-Rybolov,100,RU,1580168871,89,44.75,132.04,9.64,2.48
San Patricio,5,MX,1580168872,69,19.22,-104.7,80.6,13.87
Rocha,47,UY,1580168872,76,-34.48,-54.33,54.88,3.74
Fairmont,90,US,1580168800,95,39.49,-80.14,37.4,4.7
Tuensang,12,IN,1580168874,95,26.28,94.83,41.92,3.13
Craig,90,US,1580168875,86,40.52,-107.55,33.8,5.82
Kudahuvadhoo,69,MV,1580168876,73,2.67,72.89,81.1,9.98
Khovd,0,MN,1580168877,59,48.01,91.64,5.49,2.1
Iqaluit,90,CA,1580168877,76,63.75,-68.51,-5.01,5.68
Nangwa,100,TZ,1580168878,98,-4.47,35.45,60.24,2.75
Qui Nhon,100,VN,1580168879,91,13.77,109.23,68.77,2.42
Nicoya,20,CR,1580168702,58,10.15,-85.45,86.0,8.05
Aberdeen,80,GB,1580168650,71,57.14,-2.1,35.01,4.7
Jiaxing,75,CN,1580168881,86,30.75,120.75,42.01,6.71
Aksarka,92,RU,1580168882,97,66.56,67.8,-12.62,12.95
North Bend,90,US,1580168882,93,43.41,-124.22,55.0,7.29
Broome,90,US,1580168883,86,42.25,-75.83,34.0,12.75
Tabou,6,CI,1580168884,87,4.42,-7.35,78.22,4.12
Dunedin,84,NZ,1580168853,63,-45.87,170.5,68.0,4.52
Casambalangan,43,PH,1580168885,77,18.38,122.13,73.51,4.29
Araouane,0,ML,1580168886,11,18.9,-3.53,71.6,5.55
Gravelbourg,100,CA,1580168887,93,49.88,-106.55,29.7,7.25
Gerash,0,IR,1580168888,62,27.67,54.14,45.05,1.88
Yar-Sale,90,RU,1580168888,97,66.83,70.83,-8.28,12.71
Seoul,90,KR,1580168827,65,37.57,126.98,44.6,5.95
Coffs Harbour,2,AU,1580168890,58,-30.3,153.13,84.99,12.75
Porbandar,12,IN,1580168891,69,21.64,69.61,70.68,20.58
Okhotsk,4,RU,1580168892,69,59.38,143.3,-14.93,8.93
Katsuura,75,JP,1580168893,93,35.13,140.3,39.99,27.51
Pelym,99,RU,1580168893,93,61.01,62.0,-3.19,8.86
Usinsk,88,RU,1580168894,97,65.99,57.53,-20.33,8.59
Ayan,0,RU,1580168895,73,56.45,138.17,8.33,7.81
Samarai,100,PG,1580168896,55,-10.62,150.67,89.1,1.74
Dhidhdhoo,80,MV,1580168896,65,6.88,73.1,81.05,4.43
Mana,100,GF,1580168897,96,5.66,-53.78,74.25,2.44
Agropoli,30,IT,1580168898,79,40.35,15.0,52.0,4.54
Barra de Tecoanapa,0,MX,1580168899,67,16.52,-98.75,80.42,7.4
Minsk,90,BY,1580168635,100,53.9,27.57,30.2,4.47
Chalus,0,IR,1580168900,80,36.66,51.42,41.0,4.76
Banjar,20,ID,1580168901,88,-8.19,114.97,82.4,4.7
Bom Jardim,92,BR,1580168902,74,-7.8,-35.59,78.8,13.87
Jaciara,76,BR,1580168902,89,-15.97,-54.97,74.88,1.32
Mandera,95,KE,1580168903,48,3.94,41.87,84.7,15.73
Shimoda,75,JP,1580168904,93,34.67,138.95,45.0,27.51
High Prairie,82,CA,1580168802,84,55.43,-116.49,27.75,4.56
Tessalit,100,ML,1580168905,9,20.2,1.01,72.34,10.71
Marsabit,94,KE,1580168906,69,2.33,37.99,75.97,18.23
Trinidad,75,BO,1580168861,79,-14.83,-64.9,84.2,4.7
Divnoye,57,RU,1580168908,89,45.91,43.35,38.26,4.38
Dauphin,75,CA,1580168670,85,51.15,-100.05,12.2,2.24
Kulhudhuffushi,98,MV,1580168910,66,6.62,73.07,81.34,5.19
Vao,0,NC,1580168910,80,-22.67,167.48,78.04,15.1
Jennings,90,US,1580168911,92,38.72,-90.26,34.0,6.93
Kaeo,0,NZ,1580168912,60,-35.1,173.78,91.0,1.01
Sumbe,98,AO,1580168912,79,-11.21,13.84,75.11,1.74
Moissala,0,TD,1580168913,17,8.34,17.77,69.78,3.85
Emerald,40,AU,1580168914,74,-23.53,148.17,80.6,10.29
Kasane,98,BW,1580168915,75,-17.82,25.15,69.35,7.4
Ust'-Omchug,100,RU,1580168915,97,61.15,149.63,0.68,4.29
La Grande,75,US,1580168916,86,45.32,-118.09,51.01,3.36
Lethem,82,GY,1580168917,50,3.38,-59.8,87.53,15.75
Lyubech,89,UA,1580168918,87,51.7,30.66,30.97,5.21
Fare,67,PF,1580168918,73,-16.7,-151.02,83.19,9.71
Turukhansk,100,RU,1580168919,89,65.82,87.98,11.79,15.03
Coquimbo,75,CL,1580168920,82,-29.95,-71.34,66.2,8.05
Puerto Rico,68,AR,1580168920,52,-26.8,-55.02,77.22,3.56
Zhanaozen,61,KZ,1580168921,90,43.3,52.8,34.29,7.65
Matara,80,LK,1580168922,88,5.95,80.54,69.21,4.76
Rawah,92,IQ,1580168923,76,34.48,41.91,47.08,3.4
Hirara,75,JP,1580168923,68,24.8,125.28,66.2,10.29
Sibu,75,MY,1580168924,100,2.3,111.82,77.0,1.77
Brigham City,90,US,1580168896,86,41.51,-112.02,44.01,8.05
Uitenhage,100,ZA,1580168926,82,-33.76,25.4,59.0,5.82
Yinchuan,0,CN,1580168926,87,38.47,106.27,21.06,2.35
Jining,5,CN,1580168705,29,35.41,116.58,35.01,2.62
Great Bend,75,US,1580168928,80,38.36,-98.76,37.4,13.87
Port Hawkesbury,90,CA,1580168928,94,45.62,-61.35,37.0,4.7
Uyemskiy,75,RU,1580168929,84,64.47,40.85,-2.2,4.47
Lutkun,0,RU,1580168930,50,41.48,47.69,17.2,8.14
Urusha,78,RU,1580168931,94,54.05,122.9,-5.91,1.81
Ati,61,TD,1580168931,12,13.22,18.34,65.88,8.66
Sibolga,98,ID,1580168932,98,1.74,98.78,71.74,2.15
Vanavara,100,RU,1580168933,92,60.34,102.28,6.8,4.99
Podgornoye,90,RU,1580168933,92,51.73,39.15,32.0,4.47
Sapulpa,1,US,1580168934,34,36.0,-96.11,64.4,3.36
Baykit,100,RU,1580168935,96,61.67,96.37,6.84,2.53
Bay Roberts,75,CA,1580168936,92,47.6,-53.26,36.0,16.11
Ust'-Kulom,81,RU,1580168936,98,61.69,53.69,-14.1,5.37
Rawson,0,AR,1580168773,37,-43.3,-65.1,75.25,8.79
North Battleford,90,CA,1580168938,92,52.78,-108.28,24.01,5.82
Crixas,99,BR,1580168938,98,-14.55,-49.97,69.12,6.78
Goundam,100,ML,1580168939,8,16.41,-3.67,74.57,10.18
Kotma,17,IN,1580168940,50,23.2,81.97,61.38,7.52
Tual,54,ID,1580168941,77,-5.67,132.75,84.13,14.72
Pangnirtung,40,CA,1580168941,60,66.15,-65.71,-25.6,3.36
Sangar,0,RU,1580168942,79,63.92,127.47,-32.64,3.2
Teahupoo,75,PF,1580168943,70,-17.83,-149.27,87.8,6.93
Muros,75,ES,1580168944,93,42.78,-9.06,57.0,4.7
Maracas,87,BR,1580168946,87,-13.44,-40.43,70.81,3.51
Fiditi,39,NG,1580168947,66,7.71,3.92,66.34,0.67
Nome,1,US,1580168948,69,64.5,-165.41,-11.2,7.31
Adeje,20,ES,1580168949,67,28.12,-16.73,62.6,10.29
Moratuwa,81,LK,1580168950,94,6.77,79.88,71.6,4.7
Sirte,0,LY,1580168951,82,31.21,16.59,55.24,5.77
Abhar,0,IR,1580168951,64,36.15,49.22,10.83,2.98
Bereznik,98,RU,1580168952,98,62.86,42.71,-0.06,3.2
Makakilo City,20,US,1580168953,54,21.35,-158.09,80.6,8.05
Orlik,0,RU,1580168953,63,52.52,99.83,-3.3,2.77
Otavi,98,NA,1580168955,64,-19.65,17.33,71.24,4.34
Derzhavinsk,100,KZ,1580168955,94,51.1,66.32,22.41,20.65
Bagotville,90,AU,1580168956,74,-28.98,153.42,82.0,4.7
